category	category-href	title
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ECON 2725 - Corporate Finance and Banking
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	HISTSCI 302 - Guided Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	MODGRK AB - Elementary Modern Greek
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ECON 1661 - Fundamentals of Environmental Economics and Policy
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ECON 2812HFB - Research in Labor Economics
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	IMMUN 344 - Genetic Analysis of Lymphocyte Development and Nuclear Oncogene Function
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	Expository Writing 20 - Human Rights as History
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	RSEA 300 - Thesis Research and Writing
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	MUSIC 309 - Doctoral Colloquium
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	PORTUG 30 - Upper-Level Portuguese: Lusophone Culture in Bits and Pieces
